,appearences,assists,blocks,captain,dispossesed,goals,hit_post,injured,inside_box_saves,interceptions,lineups,minutes,number,player_id,position_id,redcards,saves,substitute_in,substitute_out,substitutes_on_bench,tackles,yellowcards,yellowred
0,0,0,,0,,0,,FALSE,,,0,0,,2064,1,0,,0,0,2,,0,0
1,2,0,,0,,0,,FALSE,,,2,180,,6971103,1,0,,0,0,0,,0,0
2,2,0,,0,,0,,FALSE,,,2,180,,298,2,0,,0,0,0,,1,0
3,2,0,,0,,0,,FALSE,,,2,180,,299,2,0,,0,0,0,,0,0
4,2,0,,0,,0,,FALSE,,,2,180,,3628,2,0,,0,0,0,,0,0
5,0,0,,0,,0,,FALSE,,,0,0,,6742,2,0,,0,0,1,,0,0
6,0,0,,0,,0,0,FALSE,,,0,0,,128177,2,0,,0,0,1,,0,0
7,0,0,,0,,0,,FALSE,,,0,0,,10091,2,0,,0,0,1,,0,0
8,1,0,,0,,0,,FALSE,,,1,80,,6971046,2,0,,0,1,0,,0,0
9,2,0,,0,,0,,FALSE,,,2,180,,305,3,0,,0,0,0,,0,0
10,2,0,,0,,1,,FALSE,,,2,180,,307,3,0,,0,0,0,,0,0
11,2,0,,0,,0,,FALSE,,,2,169,,373,3,0,,0,1,0,,0,0
12,2,0,,0,,0,,FALSE,,,2,120,,337,3,0,,0,2,0,,1,0
13,1,0,,0,,0,,FALSE,,,0,33,,285,3,0,,1,0,2,,1,0
14,0,0,,0,,0,,FALSE,,,0,0,,311388,3,0,,0,0,2,,0,0
15,2,0,,0,,0,,FALSE,,,2,180,,408,4,0,,0,0,0,,0,0
16,2,0,,0,,0,,FALSE,,,1,117,,111,4,0,,1,0,1,,0,0
17,2,0,,0,,0,,FALSE,,,0,21,,412,4,0,,2,0,2,,0,0
18,0,0,,0,,0,,FALSE,,,0,0,,677,4,0,,0,0,1,,0,0
19,2,0,,0,,0,,FALSE,,,1,117,,6971104,4,0,,1,0,1,,0,0
20,1,0,,0,,1,,FALSE,,,1,63,,6971047,4,0,,0,1,0,,0,0
0,8,0,,0,,0,,FALSE,,,8,648,1,488,1,1,,0,0,0,,0,0
1,0,0,,0,,0,,FALSE,,,0,0,21,2137,1,0,,0,0,5,,0,0
2,6,0,,0,,0,,FALSE,,,5,522,24,74,1,0,,1,0,8,,1,0
3,3,0,,0,,0,,FALSE,,,3,270,3,86,2,0,,0,0,0,,0,0
4,6,0,,0,,0,,FALSE,,,5,456,12,356,2,0,,1,1,1,,1,0
5,3,0,,0,,0,,FALSE,,,2,157,18,184976,2,0,,1,1,3,,1,0
6,7,0,,0,,0,0,FALSE,,,7,630,20,864,2,0,,0,0,4,,0,0
7,4,0,,0,,0,,FALSE,,,2,263,22,85,2,0,,2,0,4,,1,0
8,6,0,,0,,1,,FALSE,,,6,540,23,290,2,0,,0,0,1,,0,0
9,11,0,,0,,0,,FALSE,,,9,834,27,89,2,0,,2,0,3,,1,0
10,12,0,,0,,1,,FALSE,,,12,1080,28,54,2,0,,0,0,0,,2,0
11,0,0,,0,,0,,FALSE,,,0,0,36,77,2,0,,0,0,7,,0,0
12,1,0,,0,,0,,FALSE,,,0,17,38,5045,2,0,,1,0,1,,0,0
13,2,0,,0,,0,,FALSE,,,0,13,2,720,3,0,,2,0,6,,0,0
14,12,0,,0,,2,,FALSE,,,7,642,7,3679,3,0,,5,3,5,,0,0
15,9,0,,0,,1,,FALSE,,,9,792,8,148,3,0,,0,2,0,,0,0
